Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '60/212', '36/140', '22/107', '49/264', '52/289', '29/155', '12/86', '40/237', '25/154']","['22/44', '33/165', '844/4638', '934/5337', '78/542', '428/2779', '2194/13687', '36/216', '16131/147112', '20722/213881']","[1, 2, 5, 6, 7, 9, 11, 12, 13, 14]",6585808,353,1700,41422,388401,11,2031,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,ASN_learnresult_MAESTRO_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '13/65']","['9/18', '2775/11189', '703/3203']","[1, 4, 5]",715932,119,476,3487,14410,4,64,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,TCP_Linux_Client.dot,15,10,Compressed,"['10/10', '18/46', '79/310', '61/328', '48/198', '26/129', '31/186', '26/136', '17/94', '21/124', '36/204']","['22/44', '33/132', '170/772', '657/2966', '1441/12494', '112/771', '1022/10160', '31/155', '2256/22236', '1334/13750']","[1, 2, 6, 8, 9, 10, 11, 12, 13, 14]",1495752,373,1765,7078,63480,11,293,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.1g_server_regular.dot,16,7,Compressed,"['7/7', '10/27', '19/52', '11/33', '15/58', '24/95', '45/235', '63/375', '17/119', '13/82']","['4/8', '8/32', '16/63', '101/413', '59/244', '187/798', '1/4', '1324/9694', '1052/8370']","[1, 2, 3, 4, 5, 7, 10, 14, 15]",393112,224,1083,2752,19626,10,91,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.1l_server_regular.dot,10,7,Compressed,"['7/7', '10/27', '20/55', '12/36', '10/40', '40/198', '5/30']","['4/8', '8/40', '16/79', '115/574', '43/214', '8852/60514']","[1, 2, 3, 4, 5, 8]",1492944,104,393,9038,61429,7,171,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,4_learnresult_SecureCode Aut_fix.dot,4,14,Compressed,"['14/14', '33/108', '34/161']","['9/18', '8787/43934']","[1, 3]",1575952,81,283,8796,43952,3,33,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,4_learnresult_PIN_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '10/50']","['9/18', '8784/43919', '31288/156439']","[1, 4, 5]",6116888,116,461,40081,200376,4,830,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '20/55', '12/36', '10/40', '56/310', '4/24']","['4/8', '8/40', '16/79', '115/574', '43/214', '8852/60514']","[1, 2, 3, 4, 5, 9]",1492944,119,499,9038,61429,7,180,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,OpenSSL_1.0.1j_client_regular.dot,6,7,Compressed,"['7/7', '7/21', '22/61', '10/40', '11/55', '11/66']","['7/14', '8/40', '231/1154', '736/3687', '3858/21766']","[1, 2, 3, 4, 5]",750300,68,250,4840,26661,6,114,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,ASN_learnresult_SecureCode Aut_fix.dot,4,14,Compressed,"['14/14', '33/108', '34/161']","['9/18', '8787/43934']","[1, 3]",1575952,81,283,8796,43952,3,40,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,GnuTLS_3.3.8_client_full.dot,15,12,Compressed,"['12/12', '23/58', '10/29', '18/72', '11/45', '15/75', '12/60', '39/250', '24/155', '2/14', '2/16', '3/25', '5/41']","['1/2', '58/290', '338/1689', '1007/5034', '5331/26713', '10958/54868', '3873/21673', '1510/11988', '29/147', '8/46', '4/32', '41563/311944']","[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]",11805236,176,852,64680,434426,13,5069,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,GnuTLS_3.3.12_server_regular.dot,7,8,Compressed,"['8/8', '15/38', '15/55', '7/28', '13/73']","['1/2', '28/112', '330/1329', '424/1975']","[1, 2, 4, 5]",113156,58,202,783,3418,5,18,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,GnuTLS_3.3.12_client_full.dot,9,12,Compressed,"['12/12', '23/58', '9/26', '16/63', '6/24', '12/58', '17/87', '12/70']","['1/2', '58/232', '338/1358', '1005/4026', '335/1374', '6/35', '63/434']","[1, 2, 3, 5, 6, 7, 8]",363232,107,398,1806,7461,8,105,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,GnuTLS_3.3.12_client_regular.dot,7,8,Compressed,"['8/8', '15/38', '15/55', '7/28', '13/73']","['1/2', '28/112', '330/1329', '424/1975']","[1, 2, 4, 5]",113156,58,202,783,3418,5,69,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.1l_client_regular.dot,6,7,Compressed,"['7/7', '7/21', '22/61', '8/32', '11/55', '12/70']","['7/14', '8/32', '231/926', '593/2854', '24/167']","[1, 2, 3, 4, 5]",103560,67,246,863,3993,6,27,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,GnuTLS_3.3.12_server_full.dot,9,12,Compressed,"['12/12', '23/58', '12/35', '14/55', '28/125', '29/161']","['1/2', '42/210', '336/1679', '385/1924', '2075/10389']","[1, 2, 3, 4, 6]",741584,118,446,2839,14204,6,57,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,TCP_Windows8_Client.dot,13,10,Compressed,"['10/10', '18/46', '200/1021', '35/263', '48/409', '23/124']","['22/44', '43/172', '1003/5074', '2/12', '6307/52802']","[1, 2, 10, 11, 12]",1504532,334,1873,7377,58104,6,190,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.1g_client_regular.dot,10,7,Compressed,"['7/7', '7/21', '21/58', '12/47', '9/36', '23/124', '10/70', '12/60', '16/95']","['7/14', '8/32', '119/479', '113/455', '484/2340', '70/490', '352/3140', '26/162']","[1, 2, 3, 4, 5, 7, 8, 9]",190256,117,518,1179,7112,9,62,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,learnresult_fix.dot,9,15,Compressed,"['15/15', '51/192', '23/97', '25/126', '40/197', '120/708']","['9/18', '3368/16839', '6667/34470', '180/951', '1/8']","[1, 4, 5, 6, 7]",1706264,274,1335,10225,52286,6,305,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,ASN_learnresult_SecureCode Aut_fix.dot,4,14,Compressed,"['14/14', '33/108', '34/161']","['9/18', '3358/14059']","[1, 3]",413892,81,283,3367,14077,3,25,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,GnuTLS_3.3.8_server_regular.dot,12,8,Compressed,"['8/8', '15/38', '17/60', '9/35', '8/39', '16/87', '11/66', '9/56', '3/18']","['1/2', '28/112', '330/1340', '248/1093', '697/4517', '1792/11161', '8/49', '4/20']","[1, 2, 4, 5, 6, 8, 9, 11]",450036,96,407,3108,18294,9,145,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,BitVise.dot,66,13,Compressed,"['13/13', '51/154', '22/66', '48/143', '129/695', '49/238', '42/286', '39/267', '452/3557', '50/450', '125/1261', '81/786', '45/549', '91/1032', '58/776', '53/548', '103/1164', '50/667', '60/824', '254/3558', '64/1051', '61/984', '121/2136', '55/585', '59/656', '74/1178', '59/683', '45/450', '84/929', '75/1183', '52/610', '48/639', '58/969', '54/892', '43/367', '51/437', '68/1056', '60/1103', '66/1139']","['1/2', '25/124', '48/241', '699/4124', '384/2199', '27482/158589', '686/3970', '607/3048', '3/29', '3/24', '197/1463', '2/23', '3775/64815', '1/15', '74177/1262431', '8407/127652', '15/233', '158/2563', '148/2371', '5/80', '941/18671', '24226/345443', '6/101', '64251/1253124', '34420/543670', '116231/2082687', '61471/865423', '1559/20513', '142/1831', '1447/18507', '157/1937', '139/1749', '21074/275149', '11907/176439', '1594/16518', '2501/25645', '621/6472', '3/44']","[1, 4, 5, 6, 11, 12, 13, 14, 25, 26, 29, 31, 32, 34, 35, 36, 38, 39, 40, 45, 46, 47, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65]",94412104,3012,34081,459513,7287919,39,100128,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,ASN_learnresult_MAESTRO_fix.dot,6,14,Compressed,"['14/14', '47/178', '45/219', '10/50']","['9/18', '8784/43919', '31288/156439']","[1, 4, 5]",6116888,116,461,40081,200376,4,817,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 3, 2)",Iads,3,2,Y,miTLS_0.1.3_server_regular.dot,6,8,Compressed,"['8/8', '15/38', '24/86', '38/203']","['9/18', '20/100', '1680/8399']","[1, 2, 4]",382676,85,335,1709,8517,4,31,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,GnuTLS_3.3.8_client_full.dot,15,12,Compressed,"['12/12', '23/58', '10/29', '18/72', '8/32', '17/83', '22/109', '29/185', '15/98', '5/31', '5/26', '2/16', '7/53']","['1/2', '58/232', '338/1365', '1011/4080', '345/1420', '11/55', '65/442', '127/881', '3633/26681', '2/12', '3/21', '4807/25786']","[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14]",1566776,173,804,10401,60977,13,649,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,OpenSSL_1.0.1j_server_regular.dot,11,7,Compressed,"['7/7', '10/27', '20/55', '12/36', '10/40', '55/304', '6/36']","['4/8', '8/32', '16/63', '115/465', '44/178', '1795/11891']","[1, 2, 3, 4, 5, 9]",359964,120,505,1982,12637,7,51,OK
"L# (SepSeq, SepSeq)",81,"(Iads, 2, 2)",Iads,2,2,Y,TCP_Linux_Server.dot,57,12,Compressed,"['12/12', '17/46', '18/83', '105/522', '126/902', '45/399', '53/560', '168/1170', '42/498', '43/360', '47/398', '46/451', '47/407', '55/563', '53/504', '53/514', '53/509', '51/481', '51/298', '63/515', '95/910', '68/694', '51/564', '55/654', '289/2834', '471/4713', '54/553', '263/3415', '72/1016', '66/919', '79/1157', '145/1890', '147/1691']","['91/182', '83/332', '74/377', '1644/10850', '3/32', '60/395', '1654/18956', '52/675', '1724/25274', '63/822', '10/134', '1898/27036', '7/69', '17/208', '10/96', '843/10929', '5167/70997', '1668/19531', '6/33', '914/8179', '3531/41091', '170/2205', '151/1845', '3127/37639', '5/54', '27/220', '56/800', '55/1063', '374/7145', '194/3827', '3745/70099', '12850/230923']","[1, 2, 3, 7, 11, 12, 13, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 39, 46, 47, 51, 52, 53, 54, 55]",6821260,3003,30202,40273,592018,33,5317,OK
