ClosingStrategy,ObservationTableCEXHandler,SUL name,Seed,Cache,EquivalenceOracle,Method,Iter,HypSize,CESize,Info
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,13,37,10,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,14,41,13,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,15,42,11,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,16,43,13,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,17,46,14,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,18,50,17,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,19,51,16,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,20,52,10,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,21,53,15,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,22,54,9,8WpA
CloseFirst,RivestSchapire,TCP_FreeBSD_Server.dot,1642682885811,Y,"LearnlibEQOracle(wp,1)",L*M,23,55,0,8WpA
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682885906,Y,"LearnlibEQOracle(wp,1)",L*M,1,13,5,3KwY
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682885906,Y,"LearnlibEQOracle(wp,1)",L*M,2,14,5,3KwY
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682885906,Y,"LearnlibEQOracle(wp,1)",L*M,3,15,0,3KwY
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,1,15,5,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,2,16,8,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,3,17,5,jMo7
