,Method,Seed,EquivalenceOracle,CTT,Extra States,Random Infix Length,Cache,SUL name,Qsize,Isize,TreeType,Learning queries/symbols,Testing queries/symbols,HypSize,OTreeSize,MQ [Resets],MQ [Symbols],EQ [Resets],EQ [Symbols],Rounds,Learning [ms],Equivalent,Learning queries,Learning symbols,Testing queries,Testing symbols,TQ [Symbols],TQ [Resets],TQ,MQ,EQ,Total queries,Total symbols,APFD,AUC,Type,SUL group,HypSizePercent
437,"L# (SepSeq, SepSeq)",81,H,H,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/57', '12/35', '14/55', '17/84', '17/101']","['4/8', '2/8', '9/36', '962/4614', '290/1521', '7/40']","[1, 2, 3, 4, 5, 6, 7]",194036,98,366,1274,6227,7,47,OK,[ 7 17 38 50 64 81 98],[  7  34  91 126 181 265 366],"[0, 4, 6, 15, 977, 1267, 1274]","[0, 8, 16, 52, 4666, 6187, 6227]",6593,1372,7965,464,7501,[   7   21   44   65 1041 1348 1372],7,0.9217502018241467,217943.0,Fixed,TLS,14.285714285714285
437,"L# (SepSeq, SepSeq)",81,H,H,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/57', '12/35', '14/55', '17/84', '17/101']","['4/8', '2/8', '9/36', '962/4614', '290/1521', '7/40']","[1, 2, 3, 4, 5, 6, 7]",194036,98,366,1274,6227,7,47,OK,[ 7 17 38 50 64 81 98],[  7  34  91 126 181 265 366],"[0, 4, 6, 15, 977, 1267, 1274]","[0, 8, 16, 52, 4666, 6187, 6227]",6593,1372,7965,464,7501,[   7   21   44   65 1041 1348 1372],42,0.9217502018241467,217943.0,Fixed,TLS,28.57142857142857
437,"L# (SepSeq, SepSeq)",81,H,H,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/57', '12/35', '14/55', '17/84', '17/101']","['4/8', '2/8', '9/36', '962/4614', '290/1521', '7/40']","[1, 2, 3, 4, 5, 6, 7]",194036,98,366,1274,6227,7,47,OK,[ 7 17 38 50 64 81 98],[  7  34  91 126 181 265 366],"[0, 4, 6, 15, 977, 1267, 1274]","[0, 8, 16, 52, 4666, 6187, 6227]",6593,1372,7965,464,7501,[   7   21   44   65 1041 1348 1372],107,0.9217502018241467,217943.0,Fixed,TLS,42.857142857142854
437,"L# (SepSeq, SepSeq)",81,H,H,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/57', '12/35', '14/55', '17/84', '17/101']","['4/8', '2/8', '9/36', '962/4614', '290/1521', '7/40']","[1, 2, 3, 4, 5, 6, 7]",194036,98,366,1274,6227,7,47,OK,[ 7 17 38 50 64 81 98],[  7  34  91 126 181 265 366],"[0, 4, 6, 15, 977, 1267, 1274]","[0, 8, 16, 52, 4666, 6187, 6227]",6593,1372,7965,464,7501,[   7   21   44   65 1041 1348 1372],178,0.9217502018241467,217943.0,Fixed,TLS,57.14285714285714
437,"L# (SepSeq, SepSeq)",81,H,H,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/57', '12/35', '14/55', '17/84', '17/101']","['4/8', '2/8', '9/36', '962/4614', '290/1521', '7/40']","[1, 2, 3, 4, 5, 6, 7]",194036,98,366,1274,6227,7,47,OK,[ 7 17 38 50 64 81 98],[  7  34  91 126 181 265 366],"[0, 4, 6, 15, 977, 1267, 1274]","[0, 8, 16, 52, 4666, 6187, 6227]",6593,1372,7965,464,7501,[   7   21   44   65 1041 1348 1372],4847,0.9217502018241467,217943.0,Fixed,TLS,71.42857142857143
437,"L# (SepSeq, SepSeq)",81,H,H,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/57', '12/35', '14/55', '17/84', '17/101']","['4/8', '2/8', '9/36', '962/4614', '290/1521', '7/40']","[1, 2, 3, 4, 5, 6, 7]",194036,98,366,1274,6227,7,47,OK,[ 7 17 38 50 64 81 98],[  7  34  91 126 181 265 366],"[0, 4, 6, 15, 977, 1267, 1274]","[0, 8, 16, 52, 4666, 6187, 6227]",6593,1372,7965,464,7501,[   7   21   44   65 1041 1348 1372],6452,0.9217502018241467,217943.0,Fixed,TLS,85.71428571428571
437,"L# (SepSeq, SepSeq)",81,H,H,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '21/57', '12/35', '14/55', '17/84', '17/101']","['4/8', '2/8', '9/36', '962/4614', '290/1521', '7/40']","[1, 2, 3, 4, 5, 6, 7]",194036,98,366,1274,6227,7,47,OK,[ 7 17 38 50 64 81 98],[  7  34  91 126 181 265 366],"[0, 4, 6, 15, 977, 1267, 1274]","[0, 8, 16, 52, 4666, 6187, 6227]",6593,1372,7965,464,7501,[   7   21   44   65 1041 1348 1372],6593,0.9217502018241467,217943.0,Fixed,TLS,100.0
508,"L# (SepSeq, SepSeq)",81,SPYH,SPYH,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '23/63', '11/33', '16/63', '32/174']","['4/8', '1/4', '1/4', '893/4269', '252/1318']","[1, 2, 3, 4, 5, 7]",190136,99,367,1151,5603,6,35,OK,[ 7 17 40 51 67 99],[  7  34  97 130 193 367],"[0, 4, 5, 6, 899, 1151]","[0, 8, 12, 16, 4285, 5603]",5970,1250,7220,466,6754,[   7   21   45   57  966 1250],7,0.9282085745203456,219881.5,Fixed,TLS,14.285714285714285
508,"L# (SepSeq, SepSeq)",81,SPYH,SPYH,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '23/63', '11/33', '16/63', '32/174']","['4/8', '1/4', '1/4', '893/4269', '252/1318']","[1, 2, 3, 4, 5, 7]",190136,99,367,1151,5603,6,35,OK,[ 7 17 40 51 67 99],[  7  34  97 130 193 367],"[0, 4, 5, 6, 899, 1151]","[0, 8, 12, 16, 4285, 5603]",5970,1250,7220,466,6754,[   7   21   45   57  966 1250],42,0.9282085745203456,219881.5,Fixed,TLS,28.57142857142857
508,"L# (SepSeq, SepSeq)",81,SPYH,SPYH,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '23/63', '11/33', '16/63', '32/174']","['4/8', '1/4', '1/4', '893/4269', '252/1318']","[1, 2, 3, 4, 5, 7]",190136,99,367,1151,5603,6,35,OK,[ 7 17 40 51 67 99],[  7  34  97 130 193 367],"[0, 4, 5, 6, 899, 1151]","[0, 8, 12, 16, 4285, 5603]",5970,1250,7220,466,6754,[   7   21   45   57  966 1250],109,0.9282085745203456,219881.5,Fixed,TLS,42.857142857142854
508,"L# (SepSeq, SepSeq)",81,SPYH,SPYH,2,1,Y,OpenSSL_1.0.2_server_regular.dot,7,7,Compressed,"['7/7', '10/27', '23/63', '11/33', '16/63', '32/174']","['4/8', '1/4', '1/4', '893/4269', '252/1318']","[1, 2, 3, 4, 5, 7]",190136,99,367,1151,5603,6,35,OK,[ 7 17 40 51 67 99],[  7  34  97 130 193 367],"[0, 4, 5, 6, 899, 1151]","[0, 8, 12, 16, 4285, 5603]",5970,1250,7220,466,6754,[   7   21   45   57  966 1250],146,0.9282085745203456,219881.5,Fixed,TLS,57.14285714285714
